candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.10843086188065924,0.13997150988588103,0.2546383898956258,0.3187347511992242,0.003061486157939809,0.4843735041057724,247.86493317442876,0.24713408794924518,23795.03358474516,13.614832973080107,96,id_material,PD001,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13150675441239137,0.15541115525945007,0.33202326808333427,0.40570930871115707,-0.024745190912482565,0.2843583211720714,343.5854502591872,0.33000719272345164,31266.275973586038,-73.14806537350107,91,id_material,PD002,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.12943564880281658,0.15515516044304914,0.3103418183258452,0.3817033127070614,-0.016198319189394166,0.4414671819651558,375.71714735044145,0.28759143892314143,35317.4118509415,-87.76587095820713,94,id_material,PD003,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.1252520686011287,0.15967286413388265,0.32700496145619684,0.39743864317859817,0.011113242582388678,0.4802870141076522,363.11576212103813,0.31137365081515167,38853.38654695108,70.60492882540986,107,id_material,PD004,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.1432657627292662,0.17393012519220644,0.4074657893445926,0.46302606566290766,0.03011319689242829,0.217317065126712,489.0233261162169,0.4260686854861238,50369.40258997034,86.61718385142302,103,id_material,PD005,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.12811943183114616,0.16810040042728133,0.2471368654886569,0.27681253731307376,-0.011087112631000236,0.3722698723770662,480.3064207974372,0.23947039733652453,45148.8035549591,-23.306533889842314,94,id_material,PD006,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.14209145332341952,0.17423821620753127,0.26843113896059795,0.3165220320898186,-0.0026480997775736913,0.5441160627846268,540.962135044135,0.25553059037950526,50850.440694148696,-1.998941854824791,94,id_material,PD007,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13229744900350673,0.16523570647025423,0.2432648870680212,0.29249844017782106,0.017832622450973834,0.49742855391244034,556.3174298463641,0.24538988359861094,59525.964993560956,101.43269046499466,107,id_material,PD008,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.15831785995984946,0.19526306374506938,0.28989596792202194,0.34490329048226503,-0.025194464843704443,0.41911532906473015,732.6885886650255,0.29664643149009107,67407.35015718234,-90.07822930482668,92,id_material,PD009,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.15420986380518673,0.1921303077701214,0.254670172805483,0.2996106391056603,-0.04590110244545376,0.47234471130553113,769.0649737627272,0.2567908696955595,83059.01716637453,-253.32961989748824,108,id_material,PD010,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.15554368699132987,0.1895630704481516,0.2635457819454426,0.3338747495366854,-0.018224158991814364,0.5546963023336757,806.4586037150601,0.2691167105815623,82258.77757893613,-29.37283887781452,102,id_material,PD011,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13545167290996066,0.17066225253654158,0.4412952164563686,0.5094260108868047,0.018816140246611008,0.2360740094466266,811.710091015277,0.46824661871582623,82794.42928355826,179.32381332424637,102,id_material,PD012,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.12133545317147175,0.15113499755537202,0.35902148429023173,0.43740252204594426,-0.0013099208765280368,0.28842845990713517,631.0300418045462,0.3546351338728748,65627.1243476728,4.528585807065978,104,id_material,PD013,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.20422371849262488,0.25203290483811136,0.8162418804661267,0.6792372873950138,0.15709251171872746,-0.7874915331633046,1454.1816340749012,0.9447755225904972,21812.724511123517,1246.3246440789246,15,id_material,PD014,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.21375280363980556,0.2408091757984249,0.9820190060021695,0.7824956241378486,0.18458917095084534,-2.478323240772376,1145.2466941878083,1.056295771727646,17178.700412817125,1028.8663015792438,15,id_material,PD015,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.11091675308139304,0.14139038156144512,0.2604762419778794,0.32597250472403055,-0.0023271152060641924,0.47386685265838524,252.3676433419289,0.2516235215947938,24227.293760825174,-3.2482582889458556,96,id_material,PD001,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.1311971939113651,0.15574348014002684,0.33124170146586646,0.39629112407739536,-0.0046705884408567225,0.2812944508434456,345.8017756620757,0.3321359304910642,31467.961585248893,-21.82858677192393,91,id_material,PD002,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.1264971663842397,0.1516607226589575,0.30329635608005434,0.36862199888875063,0.008098115983094883,0.46634265783573337,361.5129019755094,0.27671884661533314,33982.212785697884,-16.702379952079806,94,id_material,PD003,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.13111245169353258,0.16446484198108402,0.3423051027524885,0.4127524171133438,0.01896109752909374,0.448624478331744,378.215011507884,0.32432133553885556,40469.00623134359,93.40553059958118,107,id_material,PD004,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14425181400596862,0.1790119473900444,0.41027024278930746,0.45461167106032896,0.050134646726995385,0.17091266708900132,491.39552238762496,0.42813549599003364,50613.73880592537,153.23086539846966,103,id_material,PD005,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.1315787453745466,0.1687219771107276,0.25380973231017995,0.28587893522911323,-0.00971051705503043,0.36761903526894213,499.5152802047205,0.24904751934752414,46954.43633924373,-38.895283075015385,94,id_material,PD006,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14116587037144385,0.17472037360980172,0.2666825799854439,0.3165304564083831,-0.010196755008624213,0.541589499448512,530.7988290805595,0.2507298189301909,49895.08993357259,-39.37023304762708,94,id_material,PD007,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.13271529441422664,0.16866592415467913,0.24403320964276692,0.2978208013213621,-0.006389641280183127,0.4763456597510929,548.8675368041921,0.24210375900793338,58728.826438048556,5.274341376568893,107,id_material,PD008,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.1600778339068206,0.19932288584396854,0.2931186577120692,0.34715082295175737,-0.025214188567507078,0.3947092318110764,747.1624461751923,0.30250651754399027,68738.94504811769,-93.5057421109929,92,id_material,PD009,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.16381331613399852,0.20326566815166855,0.270529812414512,0.31382945751809066,-0.06085630195809847,0.40940930206484794,815.7757575218558,0.2723876049453546,88103.78181236042,-321.57688591709314,108,id_material,PD010,uplift_real,,,,,,,,,,,,
