candidate_id,mae,rmse,wape,smape,bias,r2,mae_unidades,wape_unidades,error_abs_total_unidades,bias_unidades,n,segmento,valor_segmento,target,median_ae,spearman,sign_accuracy,precision_roi_positivo,recall_roi_positivo,f1_roi_positivo,precision_roi_negativo,recall_roi_negativo,f1_roi_negativo,falsos_positivos,falsos_negativos,false_positive_rate
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.11921722244382867,0.14851734122834687,0.21188201136577117,0.23255983851214193,0.007330970892562166,0.4839959664717869,545.6563317911655,0.2195920571879466,22371.909603437787,135.6350691381393,41,soporte,soporte_alto,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.1978880889510241,0.22813504570390633,0.7939341582789331,0.7203043557366002,0.08852446636742345,-1.442459164991904,1198.2583805358443,1.057165714241212,4793.033522143377,761.8319082537275,4,soporte,soporte_bajo,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.21069597985316774,0.24918808680427174,0.9098315024385253,0.732491394232559,0.18350489902207304,-1.2908741354771314,1315.3227462229718,0.9822316252703512,34198.391401797264,1195.4052519945237,26,soporte,soporte_insuficiente,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__log1p__alpha10.0,0.13638454880742962,0.17001632723262436,0.30021070397483857,0.3725037789571819,-0.004967617041570083,0.5221496665420602,553.7921059211087,0.30126645125986323,693901.5087191492,-11.245349509208951,1253,soporte,soporte_medio,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.11461985005255937,0.15161150647032057,0.20371120777471646,0.23117254423517283,-0.017892466862198027,0.46227145551333515,498.5317728686885,0.20062741179678528,20439.80268761623,15.573568987777529,41,soporte,soporte_alto,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.19887460111286306,0.23490614128716364,0.7978920806935328,0.7622182426829773,0.019570578374276004,-1.5895961548276905,1041.2219684625327,0.9186200437681037,4164.887873850131,320.78347068901,4,soporte,soporte_bajo,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.18031563505917708,0.21940935406631304,0.7786425031620337,0.6771120332351853,0.13624502365080765,-0.7760572273272182,1115.8003273503355,0.8332360800097666,29010.80851110872,911.6974255513285,26,soporte,soporte_insuficiente,uplift_real,,,,,,,,,,,,
uplift_real__ridge__temporal_weekly__original__alpha100.0,0.14031796947533404,0.17477781784606208,0.30886897940315045,0.3782764422117391,0.0025226732036106457,0.4950094412658864,572.2071167286524,0.311284335040769,716975.5172610015,17.791244181140986,1253,soporte,soporte_medio,uplift_real,,,,,,,,,,,,
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.09429184253700962,0.45306022887449465,,,0.05370324075897969,0.841906153577386,,,,,41,soporte,soporte_alto,roi,0.006731845635486511,0.9837508401522678,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.003572530281088643,0.003950954968343857,,,0.0001767631134087233,0.9999838550775951,,,,,4,soporte,soporte_bajo,roi,0.003749293394497366,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.009623440612100981,0.013959492435198114,,,0.003174732881364315,0.9997752317612038,,,,,26,soporte,soporte_insuficiente,roi,0.006144825834029366,0.9972649572649572,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization1.0_learning_rate0.05_max_iter220_max_leaf_nodes15_min_samples_leaf20,0.1174831177444169,1.0683719237661398,,,-0.04586952118647181,0.5115799653943849,,,,,1253,soporte,soporte_medio,roi,0.006106231426420083,0.9775426363335562,0.9896249002394254,0.9890560875512996,0.9931318681318682,0.9910897875257025,0.9904214559386973,0.988527724665392,0.9894736842105263,6.0,5.0,0.004788507581803671
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.1031817575218374,0.46740823664376646,,,0.04509586640796283,0.8317342179389247,,,,,41,soporte,soporte_alto,roi,0.007148206596664888,0.9834023321936625,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.009167514134110849,0.010717753670183138,,,0.009167514134110849,0.9998811937343871,,,,,4,soporte,soporte_bajo,roi,0.0070177074349572766,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.03133461577558834,0.10526446123074545,,,0.02520630373906269,0.9872191649113036,,,,,26,soporte,soporte_insuficiente,roi,0.0049854083763628265,0.9993162393162391,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0
roi__hist_gradient_boosting__nonlinear__original__l2_regularization3.0_learning_rate0.04_max_iter300_max_leaf_nodes9_min_samples_leaf30,0.12781404573901803,1.0742420394155126,,,-0.051263396762737314,0.5061980220025459,,,,,1253,soporte,soporte_medio,roi,0.004643017883666278,0.9772895940173516,0.9936153232242618,0.9958791208791209,0.9958791208791209,0.9958791208791209,0.9904761904761905,0.994263862332696,0.9923664122137404,3.0,3.0,0.0023942537909018356
