banda_descuento_opt,subcadena,observaciones,roi_medio,roi_mediano,roi_q25,roi_q75,pct_roi_negativo
"[10%,15%)",Cadena01,109,2.0408073394495414,1.571,1.309,1.947,0.0
"[10%,15%)",Cadena02,119,1.4827058823529413,1.516,1.2025000000000001,1.879,0.01680672268907563
"[10%,15%)",Cadena03,112,1.6771696428571428,1.516,1.285,1.846,0.0
"[15%,20%)",Cadena01,148,0.724277027027027,0.663,0.4695,0.848,0.0
"[15%,20%)",Cadena02,165,0.6419575757575757,0.586,0.381,0.778,0.0
"[15%,20%)",Cadena03,162,0.6247777777777778,0.571,0.397,0.795,0.006172839506172839
"[20%,25%)",Cadena01,174,0.03710919540229885,0.036,-0.06675,0.143,0.367816091954023
"[20%,25%)",Cadena02,143,0.01599300699300699,-0.009,-0.109,0.123,0.5104895104895105
"[20%,25%)",Cadena03,169,0.026952662721893488,0.009,-0.093,0.133,0.4556213017751479
"[25%,30%)",Cadena01,129,-0.38079844961240306,-0.327,-0.421,-0.256,1.0
"[25%,30%)",Cadena02,119,-0.33280672268907563,-0.352,-0.4155,-0.256,0.9915966386554622
"[25%,30%)",Cadena03,120,-0.386425,-0.37,-0.4165,-0.28049999999999997,1.0
"[30%,35%)",Cadena01,74,-0.6519459459459459,-0.613,-0.656,-0.559,0.9864864864864865
"[30%,35%)",Cadena02,72,-0.5865416666666667,-0.5805,-0.628,-0.5327500000000001,1.0
"[30%,35%)",Cadena03,61,-0.792,-0.594,-0.649,-0.544,1.0
"[35%,40%]",Cadena01,25,-0.78012,-0.777,-0.803,-0.75,1.0
"[35%,40%]",Cadena02,26,-0.7883846153846155,-0.792,-0.8265,-0.7435,1.0
"[35%,40%]",Cadena03,33,-0.8413333333333333,-0.767,-0.81,-0.75,0.9696969696969697
"[5%,10%)",Cadena01,28,4.441142857142857,3.5905,2.891,4.25,0.0
"[5%,10%)",Cadena02,34,3.5275294117647062,3.2025,2.839,4.14325,0.0
"[5%,10%)",Cadena03,26,3.167653846153846,2.9725,2.639,3.5225,0.0
