duracion_dias,subcadena,observaciones,roi_medio,roi_mediano,pct_roi_negativo
5,Cadena01,77,0.45671428571428574,0.093,0.45454545454545453
5,Cadena02,78,0.42616666666666664,0.176,0.46153846153846156
5,Cadena03,85,0.5089529411764705,0.133,0.4117647058823529
7,Cadena01,195,0.41544102564102564,0.103,0.4153846153846154
7,Cadena02,200,0.41387999999999997,0.163,0.425
7,Cadena03,219,0.5193013698630137,0.163,0.4063926940639269
10,Cadena01,223,0.505780269058296,0.143,0.3991031390134529
10,Cadena02,198,0.44469191919191925,0.19,0.43434343434343436
10,Cadena03,181,0.3491160220994475,0.228,0.40331491712707185
14,Cadena01,138,0.772913043478261,0.07350000000000001,0.4420289855072464
14,Cadena02,130,0.46194615384615384,0.108,0.4153846153846154
14,Cadena03,126,0.14246031746031745,0.05,0.47619047619047616
21,Cadena01,54,0.14724074074074076,0.113,0.46296296296296297
21,Cadena02,72,0.5296666666666667,0.31999999999999995,0.4166666666666667
21,Cadena03,72,0.21383333333333332,0.040499999999999994,0.4722222222222222
