duracion_dias,subcadena,observaciones,uplift_medio,uplift_mediano,uplift_std
5,Cadena01,77,0.42944155844155846,0.438,0.22366036831641417
5,Cadena02,78,0.47519230769230764,0.4535,0.2668005752487182
5,Cadena03,85,0.41843529411764707,0.386,0.2346905991106682
7,Cadena01,195,0.46621025641025643,0.449,0.25125801397166514
7,Cadena02,200,0.468575,0.463,0.26316917457642375
7,Cadena03,219,0.39965296803652967,0.376,0.23657798940608485
10,Cadena01,223,0.4464887892376681,0.434,0.2280649674506306
10,Cadena02,198,0.4832070707070707,0.4725,0.2648844831079685
10,Cadena03,181,0.402182320441989,0.391,0.22735199072296844
14,Cadena01,138,0.44810144927536233,0.443,0.24325653425496774
14,Cadena02,130,0.4748,0.4625,0.2484933639717256
14,Cadena03,126,0.4126984126984127,0.4325,0.24334614917327194
21,Cadena01,54,0.5055185185185186,0.544,0.24419523126250584
21,Cadena02,72,0.4454166666666667,0.40549999999999997,0.257297260540586
21,Cadena03,72,0.4579583333333333,0.4225,0.25996784402994433
