,factor_descuento,duracion_dias,volumen_base_sem,elasticidad_estimada,duracion_semanas,volumen_base_tanda,elasticidad_abs,descuento_x_elasticidad,descuento_x_duracion,factor_descuento_sq,duracion_dias_sq,log1p_volumen_base_sem,log1p_volumen_base_tanda,mes,trimestre,semana_anio,mes_sin,mes_cos,semana_anio_sin,semana_anio_cos,precio_base,dias_desde_inicio_dataset
factor_descuento,1.0,0.015357839493046374,0.010574009520757028,0.03455019969621146,0.015357839493046374,0.014443177538112952,-0.03455019969621146,0.7376175944771126,0.64703717492887,1.0,0.015357839493046374,0.010574009520757028,0.014443088484456567,0.037634231210859535,0.029710077219439825,0.01987993696162975,0.0031554745191153693,0.054157283072789726,-0.0018580658577214445,0.047804585998439786,-0.010744696831855244,0.015296052063136665
duracion_dias,0.015357839493046374,1.0,-0.00034388280210429634,0.033270250090166105,1.0,0.7786141435641958,-0.033270250090166105,-0.0036992716311162314,0.745441097999835,0.015357839493046374,1.0,-0.00034388280210429634,0.7786131327152171,-0.0010150946301774508,0.008558133768274488,-0.0070994834692816484,0.018706231794224284,-0.014237341887377252,0.014849911250667638,-0.014550807619330494,0.009724549743393264,0.01209582799874106
volumen_base_sem,0.010574009520757028,-0.00034388280210429634,1.0,-0.06670733944035494,-0.00034388280210429634,0.596949084343378,0.06670733944035494,0.002713442451296726,0.0019293609189272012,0.010574009520757028,-0.00034388280210429634,1.0,0.5969502161090969,0.054200352861527225,0.049712052933722335,0.04826304806748267,-0.02874849871930035,0.04905282244811694,-0.035957053569511066,0.04625116041016565,0.25273817470826476,0.10760811478761678
elasticidad_estimada,0.03455019969621146,0.033270250090166105,-0.06670733944035494,1.0,0.033270250090166105,-0.04151923267796708,-1.0,-0.6096917096158545,0.04568812826138638,0.03455019969621146,0.033270250090166105,-0.06670733944035494,-0.04151951977286536,0.037549369418724096,0.02822585862152748,0.04512978416861197,-0.030111356004670384,0.02507676801722792,-0.03011428548110097,0.025796064283353386,0.6008666221406044,0.06564659422263602
duracion_semanas,0.015357839493046374,1.0,-0.00034388280210429634,0.033270250090166105,1.0,0.7786141435641958,-0.033270250090166105,-0.0036992716311162314,0.745441097999835,0.015357839493046374,1.0,-0.00034388280210429634,0.7786131327152171,-0.0010150946301774508,0.008558133768274488,-0.0070994834692816484,0.018706231794224284,-0.014237341887377252,0.014849911250667638,-0.014550807619330494,0.009724549743393264,0.01209582799874106
volumen_base_tanda,0.014443177538112952,0.7786141435641958,0.596949084343378,-0.04151923267796708,0.7786141435641958,1.0,0.04151923267796708,0.013599135945427662,0.582380455568403,0.014443177538112952,0.7786141435641958,0.596949084343378,0.9999999996507539,0.02997801451766332,0.03446006027182839,0.021948506800113326,-0.002433294783283242,0.0229872456856664,-0.00993099062770171,0.021375079148059115,0.1539561815673119,0.07168208871147252
elasticidad_abs,-0.03455019969621146,-0.033270250090166105,0.06670733944035494,-1.0,-0.033270250090166105,0.04151923267796708,1.0,0.6096917096158545,-0.04568812826138638,-0.03455019969621146,-0.033270250090166105,0.06670733944035494,0.04151951977286536,-0.037549369418724096,-0.02822585862152748,-0.04512978416861197,0.030111356004670384,-0.02507676801722792,0.03011428548110097,-0.025796064283353386,-0.6008666221406044,-0.06564659422263602
descuento_x_elasticidad,0.7376175944771126,-0.0036992716311162314,0.002713442451296726,-0.6096917096158545,-0.0036992716311162314,0.013599135945427662,0.6096917096158545,1.0,0.4726649006465895,0.7376175944771126,-0.0036992716311162314,0.002713442451296726,0.013599240723993048,-0.002325213117016113,-0.001923966676164167,-0.019080584479848117,0.028686215785631446,0.02790407512215679,0.025783246115615225,0.022540847122844532,-0.40828920156748766,-0.043517830485401476
descuento_x_duracion,0.64703717492887,0.745441097999835,0.0019293609189272012,0.04568812826138638,0.745441097999835,0.582380455568403,-0.04568812826138638,0.4726649006465895,1.0,0.64703717492887,0.745441097999835,0.0019293609189272012,0.5823796305015954,0.023397983377944118,0.026545227209073978,0.008702733194539493,0.011893725398684404,0.016087663769579017,0.006886798384816157,0.011977474137375673,0.000359442000704361,0.021972539184442832
factor_descuento_sq,1.0,0.015357839493046374,0.010574009520757028,0.03455019969621146,0.015357839493046374,0.014443177538112952,-0.03455019969621146,0.7376175944771126,0.64703717492887,1.0,0.015357839493046374,0.010574009520757028,0.014443088484456567,0.037634231210859535,0.029710077219439825,0.01987993696162975,0.0031554745191153693,0.054157283072789726,-0.0018580658577214445,0.047804585998439786,-0.010744696831855244,0.015296052063136665
duracion_dias_sq,0.015357839493046374,1.0,-0.00034388280210429634,0.033270250090166105,1.0,0.7786141435641958,-0.033270250090166105,-0.0036992716311162314,0.745441097999835,0.015357839493046374,1.0,-0.00034388280210429634,0.7786131327152171,-0.0010150946301774508,0.008558133768274488,-0.0070994834692816484,0.018706231794224284,-0.014237341887377252,0.014849911250667638,-0.014550807619330494,0.009724549743393264,0.01209582799874106
log1p_volumen_base_sem,0.010574009520757028,-0.00034388280210429634,1.0,-0.06670733944035494,-0.00034388280210429634,0.596949084343378,0.06670733944035494,0.002713442451296726,0.0019293609189272012,0.010574009520757028,-0.00034388280210429634,1.0,0.5969502161090969,0.054200352861527225,0.049712052933722335,0.04826304806748267,-0.02874849871930035,0.04905282244811694,-0.035957053569511066,0.04625116041016565,0.25273817470826476,0.10760811478761678
log1p_volumen_base_tanda,0.014443088484456567,0.7786131327152171,0.5969502161090969,-0.04151951977286536,0.7786131327152171,0.9999999996507539,0.04151951977286536,0.013599240723993048,0.5823796305015954,0.014443088484456567,0.7786131327152171,0.5969502161090969,1.0,0.029978730116764954,0.03446094934552408,0.021949270807865795,-0.002434167228013824,0.022987897848759133,-0.009931930818806861,0.02137561683568129,0.15395565669509653,0.07168255013068048
