feature,tipo,cambia_con_descuento,cambia_con_duracion,disponible_antes_tanda,uso_optimizacion
id_material,original_categorica,False,False,prepromocion,si
subcadena,original_categorica,False,False,prepromocion,si
factor_descuento,decision,True,False,prepromocion,si
duracion_dias,decision,False,True,prepromocion,si
volumen_base_sem,original_numerica,False,False,prepromocion,si
elasticidad_estimada,original_numerica,False,False,prepromocion,si
flag_secundario,original_categorica,False,False,prepromocion,si
duracion_semanas,derivada,False,True,prepromocion,si
volumen_base_tanda,derivada,False,True,prepromocion,si
elasticidad_abs,derivada,False,False,prepromocion,si
descuento_x_elasticidad,interaccion_comercial,True,False,prepromocion,si
descuento_x_duracion,interaccion_comercial,True,True,prepromocion,si
factor_descuento_sq,no_lineal,True,False,prepromocion,si
duracion_dias_sq,no_lineal,False,True,prepromocion,si
log1p_volumen_base_sem,transformacion_log,False,False,prepromocion,si
log1p_volumen_base_tanda,transformacion_log,False,True,prepromocion,si
mes,temporal,False,False,prepromocion,si
trimestre,temporal,False,False,prepromocion,si
semana_anio,temporal,False,False,prepromocion,si
mes_sin,temporal,False,False,prepromocion,si
mes_cos,temporal,False,False,prepromocion,si
semana_anio_sin,temporal,False,False,prepromocion,si
semana_anio_cos,temporal,False,False,prepromocion,si
precio_base,opcional_numerica,False,False,prepromocion,contexto
des_marca,opcional_categorica,False,False,prepromocion,contexto
flag_secundario_missing,opcional_calidad,False,False,prepromocion,contexto
sku_cadena,opcional_interaccion_categorica,False,False,prepromocion,contexto
dias_desde_inicio_dataset,opcional_tendencia,False,False,prepromocion,contexto
