feature,importance,signed_value,importance_std,method,warning
factor_descuento,1.0789760328054685,1.0789760328054685,0.024047958033723327,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
descuento_x_elasticidad,0.0005081870208370864,0.0005081870208370864,0.00012912928861005154,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
elasticidad_estimada,7.136342131587314e-05,7.136342131587314e-05,4.472809579158312e-05,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
flag_secundario,2.7319276412290928e-05,2.7319276412290928e-05,7.684688986027439e-06,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
id_material,1.6478305724937357e-05,1.6478305724937357e-05,1.2745531414296252e-05,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
subcadena,9.231739300763487e-06,9.231739300763487e-06,1.962892417402726e-06,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
duracion_dias,2.110896314910793e-06,2.110896314910793e-06,7.170738942645337e-06,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
elasticidad_abs,4.907231305362191e-07,4.907231305362191e-07,3.271614586935297e-05,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
duracion_dias_sq,0.0,0.0,0.0,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
factor_descuento_sq,0.0,0.0,0.0,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
volumen_base_sem,-4.015677737784773e-05,-4.015677737784773e-05,7.96127477506101e-05,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
volumen_base_tanda,-4.0621023137532576e-05,-4.0621023137532576e-05,1.7144156456720044e-05,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
descuento_x_duracion,-0.00019063507461293262,-0.00019063507461293262,0.00015436152247968373,permutation importance en ultima validacion temporal,"asociacion predictiva, no causal"
