feature,importance,signed_value,method,warning
numerical__descuento_x_elasticidad,0.06462918011956512,0.06462918011956512,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__factor_descuento,0.05065321182830838,0.05065321182830838,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD012,0.042323295620221926,-0.042323295620221926,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD010,0.04132438426640627,0.04132438426640627,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__factor_descuento_sq,0.038862967580304525,0.038862967580304525,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD013,0.03576028179253251,-0.03576028179253251,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__subcadena_Cadena03,0.03304757938164996,-0.03304757938164996,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD011,0.03197589016983807,0.03197589016983807,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD008,0.028029961447538936,0.028029961447538936,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD005,0.02739671568179611,-0.02739671568179611,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__subcadena_Cadena02,0.025386670584765753,0.025386670584765753,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD002,0.018465006120871794,-0.018465006120871794,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD007,0.017565188157145625,0.017565188157145625,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD009,0.01664968309889041,0.01664968309889041,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__descuento_x_duracion,0.016415106187988932,0.016415106187988932,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD003,0.015934862781033034,-0.015934862781033034,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__volumen_base_sem,0.010409801278359646,0.010409801278359646,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD004,0.009815067355651116,-0.009815067355651116,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__duracion_dias,0.008730780444715551,-0.008730780444715551,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD006,0.00867443039129812,0.00867443039129812,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__subcadena_Cadena01,0.007660908796884331,0.007660908796884331,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__semana_anio_sin,0.007240134830864823,0.007240134830864823,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__elasticidad_estimada,0.007090319223556735,-0.007090319223556735,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__elasticidad_abs,0.00709031922355667,0.00709031922355667,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__id_material_PD001,0.0054756918209895806,0.0054756918209895806,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__duracion_dias_sq,0.00506231941127537,0.00506231941127537,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__semana_anio_cos,0.00439661281117686,0.00439661281117686,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__flag_secundario_desconocido,0.003835355971573733,0.003835355971573733,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__flag_secundario_si,0.0029648136387365786,-0.0029648136387365786,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
numerical__volumen_base_tanda,0.0027885474633006957,-0.0027885474633006957,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
categorical__flag_secundario_no,0.0008705423328371374,-0.0008705423328371374,coeficiente regularizado en espacio preprocesado,signos pueden variar por colinealidad
