id_material,count,mean,median
PD008,168,0.31447619047619046,0.118
PD010,168,0.32726190476190475,0.0885
PD007,141,0.34299290780141845,0.064
PD003,143,0.34453146853146854,0.153
PD002,143,0.3777062937062937,0.103
PD013,152,0.3896973684210526,0.22249999999999998
PD011,152,0.4009934210526316,0.093
PD014,38,0.40771052631578947,0.153
PD005,161,0.44750931677018635,0.284
PD006,139,0.4517194244604317,0.133
PD001,152,0.5094736842105263,0.11299999999999999
PD012,155,0.5399548387096774,0.123
PD004,166,0.5703433734939759,0.19
PD009,145,0.5896965517241379,0.153
PD015,39,0.6179230769230769,0.074
